location,event_year,route,causal,reason,value
Aegean,2000,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,63
Aegean,2001,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,16
Aegean,2001,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,6
Aegean,2002,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,114
Aegean,2002,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,51
Aegean,2003,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,66
Aegean,2003,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,7
Aegean,2004,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,54
Aegean,2004,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,8
Aegean,2005,Eastern Mediterranean Route,authorities related death,shot by the police,2
Aegean,2005,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,11
Aegean,2005,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,7
Aegean,2006,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,43
Aegean,2006,Eastern Mediterranean Route,drowning or exhaustion related death,hypothermia,3
Aegean,2006,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,55
Aegean,2007,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,73
Aegean,2007,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,34
Aegean,2008,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,45
Aegean,2008,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,2
Aegean,2009,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,22
Aegean,2009,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,3
Aegean,2010,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,9
Aegean,2010,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,1
Aegean,2011,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,4
Aegean,2012,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,27
Aegean,2013,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,17
Aegean,2013,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",burned,3
Aegean,2014,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,54
Aegean,2014,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",burned,1
Aegean,2015,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,111
Aegean,2015,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,124
Aegean,2015,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",shot,1
Africa,2000,Western African Route,drowning or exhaustion related death,drowned,1
Africa,2000,Western Mediterranean Route,drowning or exhaustion related death,asphyxiated,2
Africa,2002,Western Mediterranean Route,drowning or exhaustion related death,drowned,14
Africa,2003,Western Mediterranean Route,drowning or exhaustion related death,drowned,11
Africa,2003,Western Mediterranean Route,malicious intent related death / manslaughter,murdered,13
Africa,2004,Central Mediterranean Route,drowning or exhaustion related death,drowned,36
Africa,2004,Central Mediterranean Route,drowning or exhaustion related death,lack of medical care,1
Africa,2004,Central Mediterranean Route,malicious intent related death / manslaughter,murdered,2
Africa,2004,Western African Route,drowning or exhaustion related death,drowned,14
Africa,2004,Western Mediterranean Route,drowning or exhaustion related death,drowned,4
Africa,2004,Western Mediterranean Route,suicide,suicide - jumped in water,1
Africa,2005,Western Mediterranean Route,drowning or exhaustion related death,drowned,2
Africa,2005,Western Mediterranean Route,drowning or exhaustion related death,hypothermia,1
Africa,2006,Central Mediterranean Route,drowning or exhaustion related death,starved,8
Africa,2006,Western Mediterranean Route,drowning or exhaustion related death,drowned,45
Africa,2006,Western Mediterranean Route,drowning or exhaustion related death,starved,28
Africa,2006,Western Mediterranean Route,unknown - supposedly exhaustion related death,unknown,18
Africa,2007,Western African Route,unknown - supposedly exhaustion related death,unknown,1
Africa,2008,Central Mediterranean Route,malicious intent related death / manslaughter,murdered,1
Africa,2008,Western African Route,unknown - supposedly exhaustion related death,unknown,25
Africa,2009,Central Mediterranean Route,drowning or exhaustion related death,drowned,1
Africa,2015,Central Mediterranean Route,drowning or exhaustion related death,drowned,5
Albania,2000,Apulia and Calabria Route,drowning or exhaustion related death,drowned,15
Albania,2000,Circular Route from Greece and Albania,unknown - supposedly exhaustion related death,unknown,1
Albania,2002,Apulia and Calabria Route,drowning or exhaustion related death,drowned,7
Albania,2002,Apulia and Calabria Route,unknown - supposedly exhaustion related death,unknown,15
Albania,2004,Apulia and Calabria Route,drowning or exhaustion related death,drowned,5
Albania,2004,Apulia and Calabria Route,drowning or exhaustion related death,hypothermia,21
Albania,2008,Circular Route from Greece and Albania,drowning or exhaustion related death,drowned,2
Algeria,2003,Western Mediterranean Route,drowning or exhaustion related death,died from dehydration,23
Algeria,2003,Western Mediterranean Route,drowning or exhaustion related death,drowned,9
Algeria,2005,Western Mediterranean Route,drowning or exhaustion related death,drowned,52
Algeria,2005,Western Mediterranean Route,drowning or exhaustion related death,starved,18
Algeria,2005,Western Mediterranean Route,unknown - supposedly exhaustion related death,unknown,4
Algeria,2006,Western Mediterranean Route,drowning or exhaustion related death,drowned,26
Algeria,2006,Western Mediterranean Route,unknown - supposedly exhaustion related death,unknown,13
Algeria,2007,Central Mediterranean Route,drowning or exhaustion related death,drowned,2
Algeria,2007,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,36
Algeria,2007,Western Mediterranean Route,drowning or exhaustion related death,drowned,27
Algeria,2007,Western Mediterranean Route,unknown - supposedly exhaustion related death,unknown,20
Algeria,2008,Central Mediterranean Route,drowning or exhaustion related death,drowned,15
Algeria,2008,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,2
Algeria,2008,Western Mediterranean Route,drowning or exhaustion related death,drowned,58
Algeria,2008,Western Mediterranean Route,malicious intent related death / manslaughter,murdered,1
Algeria,2008,Western Mediterranean Route,unknown - supposedly exhaustion related death,unknown,32
Algeria,2009,Central Mediterranean Route,drowning or exhaustion related death,drowned,12
Algeria,2009,Western Mediterranean Route,drowning or exhaustion related death,drowned,4
Algeria,2009,Western Mediterranean Route,drowning or exhaustion related death,starved,14
Algeria,2009,Western Mediterranean Route,unknown - supposedly exhaustion related death,unknown,42
Algeria,2010,Central Mediterranean Route,drowning or exhaustion related death,drowned,43
Algeria,2010,Western Mediterranean Route,drowning or exhaustion related death,drowned,6
Algeria,2010,Western Mediterranean Route,malicious intent related death / manslaughter,murdered,1
Algeria,2011,Central Mediterranean Route,drowning or exhaustion related death,drowned,18
Algeria,2011,Western Mediterranean Route,drowning or exhaustion related death,drowned,36
Algeria,2011,Western Mediterranean Route,unknown - supposedly exhaustion related death,unknown,13
Algeria,2012,Western Mediterranean Route,drowning or exhaustion related death,drowned,1
Algeria,2013,Central Mediterranean Route,drowning or exhaustion related death,exhaustion,87
Algeria,2015,Western Mediterranean Route,drowning or exhaustion related death,drowned,6
Austria,2000,Western Balkan Route,suicide,suicide - jumped from building,1
Austria,2000,Western Balkan Route,unknown - supposedly exhaustion related death,unknown,2
Austria,2008,Western Balkan Route,malicious intent related death / manslaughter,burned or asphyxiated due to arson attack,1
Austria,2015,Western Balkan Route,drowning or exhaustion related death,asphyxiated,71
Balearic Islands,2010,Western Mediterranean Route,drowning or exhaustion related death,drowned,5
Barbados,2006,Western African Route,drowning or exhaustion related death,starved,37
Bojador,2000,Western African Route,drowning or exhaustion related death,drowned,14
Bulgaria,2000,Eastern Mediterranean Route,drowning or exhaustion related death,hypothermia,3
Bulgaria,2001,Eastern Mediterranean Route,drowning or exhaustion related death,hypothermia,6
Bulgaria,2002,Eastern Mediterranean Route,authorities related death,police violence,1
Bulgaria,2002,Eastern Mediterranean Route,drowning or exhaustion related death,hypothermia,2
Bulgaria,2006,Eastern Mediterranean Route,drowning or exhaustion related death,hypothermia,1
Bulgaria,2008,Eastern Mediterranean Route,drowning or exhaustion related death,heart failure,1
Bulgaria,2009,Eastern Mediterranean Route,drowning or exhaustion related death,lack of medical care,1
Bulgaria,2015,Eastern Mediterranean Route,authorities related death,shot by the police,1
Cameroon,2003,Western Mediterranean Route,drowning or exhaustion related death,asphyxiated,1
Canary Islands,2000,Western African Route,drowning or exhaustion related death,drowned,34
Canary Islands,2001,Western African Route,drowning or exhaustion related death,drowned,9
Canary Islands,2002,Western African Route,drowning or exhaustion related death,drowned,21
